imdb_id,title,director,director_gender,box_office
tt2429930,Khwaabb,Zaid Ali Khan,male,
tt11046300,Ujda Chaman,Abhishek Pathak,male,est. ₹12.61 crore[3]
tt1736552,Breakaway,Rob Lieberman,male,
tt6118134,Anna,Shashank Udapurkar,male,
tt2979920,Bombay Velvet,Anurag Kashyap,male,₹43.13 crore[3]
tt2341766,Nautanki Saala!,Rohan Sippy,male,₹223 million (US$2.6 million)[1]
tt2196638,Gulabi Gang,Nishtha Jain,female,
tt4635372,Masaan,Neeraj Ghaywan,male,
tt5052972,Yaara Silly Silly,Subhash Sehgal,male,₹2.6 million[2]
tt5946128,Dear Zindagi,Gauri Shinde,female,₹138.91 crore[3]
tt1535467,Patiala House,Nikkhil Advani,male,₹35.3 crore (US$4.2 million)[3]
tt3322420,Queen,Vikas Bahl,male,₹95.04 crore[3]
tt2292625,Chakravyuh,Prakash Jha,male,₹257 million (US$3.0 million)[4]
tt6395306,Union Leader,Sanjay Patel,male,
tt11007050,#Yaaram,Ovais Khan,male,
tt1694542,Tanu Weds Manu,Aanand L. Rai,male,₹56 crore[3]
tt2176013,Jab Tak Hai Jaan,Yash Chopra,male,est. ₹235.66 crore[4]
